analysis_id,793xx75rd6662zq
gene_symbol,Lpgat1
parameter_id,IMPC_HEM_006_001
parameter_name,Mean corpuscular hemoglobin
pvalue,0.9206806
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2446186
