analysis_id,sod57w06h411i9r
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
parameter_id,MGP_PBI_016_001
pvalue,0.3885439
mouse_strain,C57BL
gene_symbol,Hspa5
parameter_name,Monocyte percentage
