analysis_id,wu9yg8712b1x2z5
parameter_id,MGP_PBI_031_001
parameter_name,KLRG1+ mature NK cell number
pvalue,0.2369192
gene_symbol,Mapkap1
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
mouse_strain,C57BL
