parameter_name,Placenta Morphology
mouse_strain,C57BL
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
pvalue,0.4389011
parameter_id,IMPC_GPO_002_001
mouse_life_stage,E9.5
analysis_id,wg4842v16l720ja
