analysis_id,w9d4f072658xjn6
mouse_strain,C57BL
pvalue,0.1882101
gene_accession_id,MGI:106100
parameter_name,Tibia length
gene_symbol,Etfdh
parameter_id,TCPLA_XRY_033_001
mouse_life_stage,Early adult
