parameter_name,Cornea vascularisation
gene_symbol,Traf6
gene_accession_id,MGI:108072
mouse_life_stage,Early adult
parameter_id,ESLIM_014_001_008
analysis_id,z1sx3824wlwz598
pvalue,0.9179225
mouse_strain,C57BL
