gene_symbol,Psd4
parameter_id,MGP_PBI_019_001
parameter_name,Neutrophil percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,66bxrr340oizkdx
gene_accession_id,MGI:2674093
pvalue,0.616139
