analysis_id,73pd53eb5129110
parameter_name,Head morphology
mouse_strain,C57BL
pvalue,0.1641481
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
parameter_id,MGP_CSD_064_001
gene_symbol,Cntfr
