gene_symbol,Rufy4
parameter_name,Effector CD8+ T cells - % of CD45+
parameter_id,MGP_MLN_074_001
mouse_strain,C57BL
pvalue,0.4212531
mouse_life_stage,Early adult
gene_accession_id,MGI:3588214
analysis_id,jnjdg81o29594ou
