analysis_id,23t0671819i698m
gene_symbol,Dnajc6
parameter_id,IMPC_ACS_034_001
parameter_name,% Pre-pulse inhibition - PPI2
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9245007
