analysis_id,rv577k76842412v
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
parameter_id,MGP_MLN_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1270663
