analysis_id,034l038x6v4271p
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_024_001
pvalue,0.2149987
gene_symbol,Col6a3
parameter_name,Femur
mouse_strain,C57BL
