analysis_id,7k24c34h7pwz7os
gene_symbol,Secisbp2l
parameter_name,Follicular B cells - % of B2 cells
pvalue,0.6012753
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
parameter_id,MGP_IMM_048_001
mouse_strain,C57BL
