analysis_id,953q6vnn055138n
mouse_strain,C57BL
gene_symbol,Clvs1
parameter_id,MGP_PBI_014_001
parameter_name,B cell percentage
gene_accession_id,MGI:1921688
pvalue,0.5416436
mouse_life_stage,Early adult
