gene_symbol,Bmi1
mouse_life_stage,E15.5
pvalue,0.6309948
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_strain,C57BL
gene_accession_id,MGI:88174
analysis_id,8m8w262920waua7
parameter_id,IMPC_GRS_009_001
