analysis_id,y560a2z7v5u01bg
parameter_name,Center distance travelled
parameter_id,JAX_OFD_014_001
mouse_life_stage,E9.5
pvalue,0.4066813
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_strain,C57BL
