analysis_id,rdhuf4r7te6hr45
pvalue,0.7409277
mouse_strain,129SV
parameter_id,IMPC_IMM_071_001
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
parameter_name,MZB (CD21/35 high)
