parameter_name,Left total retinal thickness
mouse_strain,C57BL
pvalue,0.4469141
gene_accession_id,MGI:99501
parameter_id,IMPC_EYE_068_001
analysis_id,u9s6gcu0oww23ct
gene_symbol,FGB
mouse_life_stage,E12.5
