analysis_id,whj3unpwq32s35k
mouse_life_stage,Early adult
pvalue,0.1609451
mouse_strain,C57BL
gene_accession_id,MGI:1919107
gene_symbol,Slc17a9
parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
