gene_symbol,Tiprl
mouse_life_stage,Early adult
analysis_id,r2k4e7s6987pqt0
parameter_id,CCP_LFO_001_001
pvalue,0.6356319
gene_accession_id,MGI:1915087
parameter_name,Weight
mouse_strain,C57BL
