analysis_id,53m3v188la8x7u4
parameter_id,MGP_PBI_009_001
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.880423
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
