analysis_id,6bn537zrb443028
mouse_life_stage,Early adult
gene_symbol,Abo
mouse_strain,C57BL
parameter_id,IMPC_XRY_067_001
gene_accession_id,MGI:2135738
parameter_name,Caudal processes
pvalue,0.7233625
