analysis_id,0fvf88c2x41o1n4
pvalue,0.3118678
gene_symbol,Gfi1b
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,IMPC_GRS_011_001
mouse_strain,C57BL
