analysis_id,5b43wg2bs0n75g0
mouse_strain,C57BL
gene_accession_id,MGI:107566
pvalue,0.4805303
parameter_name,Total CD4+ T cells - % of CD45+
parameter_id,MGP_MLN_064_001
mouse_life_stage,Early adult
gene_symbol,Kifap3
