analysis_id,96hs5h1z66l49q5
mouse_strain,C57BL
gene_accession_id,MGI:1328306
parameter_name,Liver weight
pvalue,0.6484462
mouse_life_stage,E9.5
gene_symbol,Orc2
parameter_id,UCD_OWT_008_001
