parameter_name,Total bilirubin
pvalue,0.08546577
mouse_strain,C57BL
analysis_id,xz6p7pjtgt947w1
parameter_id,IMPC_CBC_008_001
gene_accession_id,MGI:99501
gene_symbol,Fgb
mouse_life_stage,E15.5
