analysis_id,9r0xz4b4730vyyz
gene_symbol,Usp37
pvalue,0.5384856
parameter_name,Creatinine
gene_accession_id,MGI:2442483
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAX_URI_002_001
