parameter_name,Center distance travelled
mouse_strain,C57BL
gene_symbol,Kifap3
pvalue,0.516018
gene_accession_id,MGI:107566
mouse_life_stage,Early adult
analysis_id,8l90q1p65qkyn4h
parameter_id,JAX_OFD_014_001
