analysis_id,o40pw582444514x
gene_accession_id,MGI:1915472
gene_symbol,Tubb4b
pvalue,0.363559
mouse_strain,C57BL
parameter_name,Global prepulse inhibition
parameter_id,ESLIM_011_001_705
mouse_life_stage,Early adult
