parameter_name,Periphery average speed
parameter_id,HRWLLA_OFD_013_001
pvalue,0.9024957
mouse_life_stage,Early adult
analysis_id,yc86irv3h212ipc
gene_symbol,Zc2hc1a
mouse_strain,C57BL
gene_accession_id,MGI:1914556
