parameter_name,center - distance
analysis_id,n527oicp4i7i144
pvalue,0.307025
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
parameter_id,M-G-P_007_001_010
mouse_strain,C57BL
mouse_life_stage,Early adult
