parameter_name,Pale yolk sac
gene_accession_id,MGI:1917810
pvalue,0.6350678
gene_symbol,Wars2
parameter_id,IMPC_GEL_017_002
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,rj31i10w5269m2t
