gene_symbol,Cmpk1
parameter_id,M-G-P_005_001_004
analysis_id,39hywuip64gx9w6
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
pvalue,0.963525
mouse_strain,C57BL
