analysis_id,68kz6t2yo796o12
gene_accession_id,MGI:1929242
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
gene_symbol,Ivd
pvalue,0.3813435
mouse_life_stage,Early adult
parameter_name,Facial Morphology
