parameter_name,PP1 startle magnitude
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5294993
gene_symbol,Usp37
analysis_id,268o5ip2t3woz8a
gene_accession_id,MGI:2442483
