parameter_name,Anophthalmia
pvalue,0.6474819
gene_symbol,Bmp7
analysis_id,45n3easn19n73u7
gene_accession_id,MGI:103302
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_048_002
mouse_strain,C57BL
