analysis_id,95763v329ow3v24
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446274
parameter_name,Red blood cell count
mouse_strain,C57BL
gene_symbol,Frmpd1
pvalue,0.3852485
parameter_id,IMPC_HEM_002_001
