parameter_name,Retinal Blood Vessels
parameter_id,IMPC_EYE_024_001
analysis_id,87t3r892gs6820u
gene_accession_id,MGI:1336200
gene_symbol,Hpca
mouse_life_stage,Middle aged adult
pvalue,0.7290098
mouse_strain,C54BL
