parameter_id,HRWLLA_OFD_020_001
analysis_id,405pubh94zf64tc
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
mouse_strain,C57BL
pvalue,0.08373875
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
