parameter_name,Hemorrhage
mouse_strain,B6J
mouse_life_stage,Early adult
pvalue,0.5479553
gene_symbol,Nr0b2
analysis_id,895g3n683f93vz6
parameter_id,IMPC_GEO_009_002
gene_accession_id,MGI:1346344
