gene_symbol,Dnajc8
analysis_id,f5oj91wd490e0c4
gene_accession_id,MGI:1915848
mouse_strain,C57BL
pvalue,0.1300912
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
parameter_name,Total protein
