analysis_id,260i3g578w0jax7
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
pvalue,0.3204312
parameter_id,IMPC_IMM_005_002
mouse_strain,C57BL
gene_symbol,Cdin1
