analysis_id,733yc77133xsc42
pvalue,0.08614261
parameter_id,MGP_MLN_001_001
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
