analysis_id,86vah669n0295z8
mouse_strain,C57BL
gene_symbol,Slc39a10
parameter_id,HMGULA_CBC_017_001
gene_accession_id,MGI:1914515
parameter_name,Triglycerides
pvalue,0.4503787
mouse_life_stage,E9.5
