gene_symbol,Ola1
gene_accession_id,MGI:1914309
mouse_strain,C57BL
parameter_name,eye size
pvalue,0.7268353
parameter_id,ESLIM_001_001_117
mouse_life_stage,E18.5
analysis_id,5rt8avj49lfti0g
