gene_symbol,Tnni1
mouse_strain,C57BL
analysis_id,fu9806176od5w65
parameter_name,Thoracic processes
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_064_001
gene_accession_id,MGI:105073
pvalue,0.3804049
