analysis_id,m6zn2f3u9zvihk3
mouse_life_stage,Early adult
parameter_name,Prepulse inhibition - PP3
gene_accession_id,MGI:1915678
gene_symbol,Steap3
parameter_id,ESLIM_011_001_703
mouse_strain,C57BL
pvalue,0.9201476
