gene_symbol,Ssr2
pvalue,0.9024124
parameter_name,Dark side time spent
parameter_id,JAX_LDT_004_001
mouse_life_stage,Early adult
analysis_id,ly98p998t2rxh84
mouse_strain,C57BL
gene_accession_id,MGI:1913506
