analysis_id,4odos27w26x080u
gene_accession_id,MGI:1914944
parameter_name,CD4+ KLRG1+ alpha beta T cell number
pvalue,0.8229438
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
gene_symbol,Ift74
