analysis_id,gtj05fxs76mgt77
parameter_name,Plasmacytoid DC - % of DC
gene_accession_id,MGI:1913105
parameter_id,MGP_MLN_058_001
mouse_life_stage,Early adult
mouse_strain,C50BL
gene_symbol,Slc28a2
pvalue,0.6166705
