analysis_id,7a6w1a09ok43212
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:2673000
gene_symbol,Trim46
parameter_name,Fat/Body weight
mouse_strain,C57BL
pvalue,0.7697961
mouse_life_stage,Early adult
