parameter_name,Contact righting
pvalue,0.3300426
parameter_id,JAXLA_CSD_077_001
analysis_id,186x3v11hi7i6c5
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914437
gene_symbol,Zmynd19
