parameter_name,Total protein
mouse_life_stage,Early adult
gene_symbol,Cisd2
mouse_strain,C57BL
pvalue,0.9434051
parameter_id,IMPC_CBC_006_001
gene_accession_id,MGI:1914256
analysis_id,wj90k35g251017l
