parameter_name,Pericardium Morphology
mouse_life_stage,Early adult
gene_symbol,Exd1
gene_accession_id,MGI:3045306
analysis_id,f967842g381697k
mouse_strain,C57BL
parameter_id,IMPC_GEL_006_001
pvalue,0.5907377
