analysis_id,76a1eilxb2856a3
mouse_life_stage,Early adult
parameter_name,Number of rears - total
gene_accession_id,MGI:1922082
mouse_strain,C57BL
parameter_id,IMPC_OFD_021_001
pvalue,0.3334675
gene_symbol,Slc45a3
