gene_symbol,S100a3
gene_accession_id,MGI:1338849
parameter_id,IMPC_IPG_010_001
pvalue,0.9956731
mouse_life_stage,Early adult
parameter_name,Fasted blood glucose concentration
mouse_strain,C52BL
analysis_id,846z38f04s16u06
