parameter_name,Hemoglobin
gene_accession_id,MGI:3026886
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_003_001
analysis_id,06jmry2c56y90jr
pvalue,0.9361837
gene_symbol,Cdin1
mouse_strain,C57BL
