parameter_name,Basophil cell count
analysis_id,82404755g0e10wq
gene_accession_id,MGI:1918345
mouse_strain,C57BL
gene_symbol,Kif24
pvalue,0.2106787
parameter_id,IMPC_HEM_037_001
mouse_life_stage,Early adult
