parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.8319904
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
parameter_id,IMPC_IMM_046_001
analysis_id,4ks0fqi567674k1
