gene_symbol,Hspa5
gene_accession_id,MGI:95835
parameter_id,IMPC_HEM_036_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2413943
analysis_id,o7515ax3776oi7h
parameter_name,Eosinophil cell count
