analysis_id,a9690k63du0g881
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9641607
gene_symbol,Fpgs
parameter_id,JAX_OFD_021_001
gene_accession_id,MGI:95576
parameter_name,Number of rears - total
