analysis_id,2uyoa081k5f7q5r
pvalue,0.2488538
gene_symbol,Inpp1
parameter_name,Hemorrhage
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_009_002
mouse_strain,129SV
gene_accession_id,MGI:104848
