Analysis_id,1z09a9ly35axg8h
pvalue,0.1074059
mouse_strain,C57BL
gene_accession_id,MGI:1913483
parameter_name,NKT cells (panel A)
Parameter_id,IMPC_IMM_004_001
mouse_life_stage,E12.5
gene_symbol,Dmap1
