parameter_name,Limb coat/hair presence
mouse_strain,C57BL
gene_symbol,Lpgat1
analysis_id,d65t25757kg6qty
mouse_life_stage,E18.5
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:2446186
pvalue,0.9333244
